Movie Index,Title,Year,Plot,Director(s),Star(s)
5262,Sorority Party Massacre,2012,A detective from a big city and a small town sheriff close in on a serial killer. They have to solve the case before a sorority is wiped out and they become victims themselves.,"Justin Jones, Chris W. Freeman","Thomas Downey, Ed O'Ross, Marissa Skell, Eve Mauro"
5263,Uwharrie,2012,Two friends embark on a camping trip as part of an impromptu bachelor party only to discover that a mythical creature inhabits the surrounding wilderness.,"Michael Mercer, Christopher Flowers","Matthew Cole, C.A. Daniels, Brandon Estes, Christopher Flowers"
5264,Rugaru,2012,Superstition never killed anyone...until now Voodoo is unleashed in a small backwoods bayou town in the form of a large hairy beast which comes face to face with an unlikely hero with his own curse.,Tony Severio,"Randall Oliver, Joe Estevez, Christopher Severio, Robert Douthat"
5265,Goth Chylde: Re-Creation Begins,2012,Underground rock star Coven Vlad returns from the grave to lead an army of goth anarchists in a battle against the establishment.,John Spignesi,"John De'Priest Anthony, Katie Aldhizer, Elisa Santamaria, Robert Youngren"
5266,12/12/12,2012,"When baby Sebastian is born on 12/12/12 everyone around him starts to die. Pretty soon, his mother realizes that her son is the spawn of Hell.",Jared Cohn,"Sara Malakul Lane, Rubén Guevara, Steve Hanks, Carl Donelson"
5267,Reel Evil,2012,"Struggling filmmakers - Kennedy, Cory and James - finally catch the break they were looking for when they are hired to shoot a 'behind-the-scenes' documentary for a major studio production....                See full summary »",Danny Draven,"Jessica Morris, Kaiwi Lyman, Jeff Adler, Jamie Bernadette"
5268,Kill Me Now,2012,A group of small-town teens looking to drink a ton of beer in peace at a remote cabin in the woods find their party nearly ruined when they're stalked by the deranged Driller Killer in this...                See full summary »,Travis Long,"Michael Swaim, Jacob Reed, Beck Bennett, Brett Fancy"
5269,Haunted Trailer,2012,"Two goofy hick brothers (Elvis and Aaron), their crazy redneck Momma and sexy sister (Prissy) must exorcise their mobile home of an ancient demon set free to fulfill the 2012 prophecy, with...                See full summary »",Chuck Norfolk,"Ron Jeremy, Joe Grisaffi, Jeremy James Douglas Norton, Jake Byrd"
5270,All Strippers Must Die!,2012,"When a production company starts shooting a horror film in a 100 year old...and actually haunted...Sid Grauman built movie palace turned strip club in San Francisco, the 'inhabitants' ...                See full summary »",Charles Webb,"Ed Bowers, Genna Darling, Mike Gleason, Debra Lamb"
5271,Apartment 1303 3D,2012,A modern ghost story which turns a love/hate relationship between mother and daughter into a tale of horror. Some rentals are too good to be true.,Michael Taverna,"Mischa Barton, Julianne Michelle, Rebecca De Mornay, Corey Sevier"
5272,Bloody 27,2012,"When a college student (Annalisa Kyler) dissappears along the road, her friends quickly form a search party to find the lost woman. Unfortunately, these college slackers (Martin Seijo, ...                See full summary »",Michael Thomas Dunn,"Chris Adler, Mike Braud, Lauren Brown, Georgia Chris"
5273,The Legend of Cooley Moon,2012,"A mysterious and brutal attack has decimated the world's population, forcing a small group of survivors to stay alive long enough to unlock the mystery that could save them all.",Brett DeJager,"Josh Boomgaarden, Payton Braun, Carol Ceynowa, Brett DeJager"
5274,Amnesia,2012,"A young boy is hit in the head with a metal rod and gets amnesia. He is then kidnapped and must find his way home as his family attempts to find him themselves. He finds out though, he is in another dimension.",Al Gurst,"James Aardvarck, Wilbur Broad, Craig Daniels, Morgan Darien"
5275,Blood Reunion,2012,"Fifteen years ago young Janeth discovered her mother's body. Her mother, Winona, had fallen victim to a vampire. She was imprisoned in her grave by the local priest, Father Rivers. Now ...                See full summary »",Jim DeVault,"April Hartman, Richard Houghton, Paula Marcenaro Solinger, J.B. Brady"
5276,Night Claws,2012,"A small town is being terrorized by a killer Bigfoot. One that is blood thirsty, vicious and kills without warning and without discrimination. A scientist by the name of Sarah Evans (...                See full summary »",David A. Prior,"Reb Brown, Leilani Sarelle, Ted Prior, Sherrie Rose"
5277,Bigfoot County,2012,A trio of hikers are hunted by mountain men who keep the urban legend alive.,Stephon Stewart,"Stephon Stewart, Davee Youngblood, Shy Pilgreen, Sam Ayers"
5278,Psoro,2012,"Imagine experiencing a wickedly intense itching over the entirety of your body, the likes of which never yielded remorse. Psoro is a mysterious hellish sickness, created by an 18th century ...                See full summary »","Sid Kali, Wayne Daniells","Tim Dax, Jennifer Day, Marvel Elias, Lucas Hansen"
5279,The Corpse Grinders 3,2012,Lotus Cat Food is under new management and this time they have improved the recipe even more.,Manolito Motosierra,"John Martino, Richard Lester, Tam Sempere Miro, Garrick Tuitt"
5280,Sketch: Collections of a Madman,2012,Add a Plot,Emanuel Bermudez,"Jose Banelous, Emanuel Bermudez, Gloria Bueno, Eddie Felan"
5281,Megalomania,2012,"Atom and Eve are consumed by their addictions. When an anonymous call from a dark being enters Eve's life, both their lives are changed forever and ever.",J.A. Worthington,"Willie Brown, Trevor Crane, Jason Grieco, Drew Moss"
5282,Acedia,2012,"Acedia is set on a country estate where six priests are sent to rid a teenage girl of demons. While waiting for the ritualistic tenth hour, the priests start to uncover demons of their own ...                See full summary »",Joseph Ciminera,"Joe Ciminera Sr., Robert Arensen, John Basedow, Matthew Burns"
5283,Sunshine Girl and the Hunt for Black Eyed Kids,2012,"The star of the hit series, The Haunting of Sunshine Girl, Sunshine embarks on a new adventure with her best pal, Nolan and a new sidekick Andrew. They head to Portland, Oregon in search of...                See full summary »",Nicholas J. Hagen,"Maxwell James Arnold, Aparna Brielle, Siobhan Caverly, Kevin Cooke"
5284,The Last Werewolf,2012,A man turns into a werewolf but is it real?,Joshua Randell,"A. Khedron de León, Joshua Randell, Jacko Shamoon, Brett Shamoon"
5285,Vampires: Rise of the Fallen,2012,Michelle is a typical high school student until one night she is bitten by a strange animal while running in the woods. Her best friend tries to help her understand the changes she's going ...                See full summary »,Shawn Anthony,"Jessica Felice, Johnny Alonso, Shawn Anthony, Celine Cedeno"
5286,Squatch! Curse of the Tree Guardian,2012,"A Squatch,a sleepy Oregon town and greedy townsfolk make for a bad combination.",Carlos A. Samudio,"Felix Alonzo, B.K-McKee, Holli Breedlove, Joseph Brown"
5287,Tagus Ranch Massacre,2012,Add a Plot,Joaquin Juarez,"Jennifer Sparks, Erin Michele Soto, James Inch, Max Taylor"
5288,The Revenant,2012,"After the death of her father, Elizabeth Parker finds her life drastically changing for the worse. As her first year of college is about to begin, she is forced to move into her new home - ...                See full summary »",Josh Jones,"Brie McClellan, Blake Andrews, Daniel Judy, Kaitlyn Richardson"
5289,A Split Personality,2013,Wife-Mother with divided psyche executes a series of brutal serial sex slaying as her family & authorities attempt to locate the killer hiding inside her mind.,"Connie Lamothe, June Daguiso","Misan Akuya, Phil Amico, John C. Bailey, Mary Michelle Bradley"
5290,Gut Instincts,2012,"Gut Instincts contains four horrific little tales. Call Me is about a man who thinks a night of passion is in store, but when he gets home, what awaits him is far from passion. In Patterson...                See full summary »",Michelle Henderson,"Parrish Randall, Chad Thackston, Chani, Lyndsey Case"
5291,The Cutting Room Floor,2012,"The Cutting Room Floor is a horror anthology, following one lone theater employee as he fends off the zombie apocalypse, all while making time to take in some flicks on the big screen.","David Tucker, Paul Kurutsides","Justin Adams, Dustin Cole, Michael St. Denis, Kevin Duggan"
5292,Big Bad Bugs,2012,"After a convoy of American soldiers disappears, a special ops team is deployed to rescue them. They soon encounter an army of gigantic scorpions, spiders and snakes that have come to Earth from another dimension.",Peter Paul Basler,"Jack Plotnick, Sarah Lieving, Ted Jonas, Camden Toy"
5293,Cyclical Effect,2012,Ian goes through a downward spiral as he loses control of everything solid in his life. He must reinvent himself but can he find a perfect match on a dating website and get to where he needs to be before the costumed killer preys on him?,Michael Wade Johnson,"Dustin Risley, Catherine Holder, Jeff Davis, Jared Sullivan"
5294,Dropping Evil,2012,"After his friends slip him LSD on a camping trip, ultra-nerdy Nancy hallucinates that they are evil beings and begins to systematically hunt them down. Meanwhile, a mysterious corporation monitors the entire event for their own hidden purpose.",Adam Protextor,"Armin Shimerman, Tiffany Shepis, Edwin Neal, Thomas Alan Taylor"
5295,A Few Brains More,2012,The journey of zombie Lily and Jack from Fistful of Brains continues in the 70's where they fight Dead Eye and his hippie hordes.,Christine Parker,"Emlee Vassilos, Michael Ray Williams, Edward Warner, Zachary Edgerton"
5296,Zombiefied,2012,"A zombie outbreak begins at a club, leaving locals to fight for survival while a brutal serial killer ads to the body count. Only 2 people know the truth & the infection is just beginning.",Todd Jason Cook,"Rebecca Torrellas, Mike Gebbie, Tayvis Dunnahoe, Kathryn Rene' Ginzel"
5297,Mold!,2012,"Set in 1984, when the war on drugs was at its height, the story concerns a strain of mold developed by the government to wipe out Colombian coca fields. Unfortunately, during a ...                See full summary »",Neil Meschino,"Ardis Campbell, Robert Fattorini, Chris Gentile, Lawrence George"
5298,Poe,2012,Brilliant and wealthy Dr. Andrew Casey is a serial killer who goes by the name 'The Chef'. One night eleven years ago his wife found out. He was arrested and imprisoned at Marathon County ...                See full summary »,Francis Xavier,"Stelio Savante, David Fine, Gene Silvers, Sal Landi"
5299,Reclusion,2012,"A beautiful young student house-sits for family friends, seeking peace and perspective. A psychotic killer on a weekend rampage finds refuge in the same secluded house, setting off an ...                See full summary »",Andrew McGowan,"Irina Abraham, Kyle Burns, Jack W. Clarke III, Jack Andrew Clarke"
5300,Empty Rooms,2012,"A single mother and her mute, autistic son are terrorized by supernatural entities in this haunting story of love, loss and the occult.",Adam Lamas,"Ramlah Frediani, Charlie Koudsi, Tegan Ashton Cohan, Adam Jones"
5301,The Legend of Black Annie,2012,A young girl is wrongfully killed. The ghost exacts revenge on the guilty parties.,"Shane Woodson, Terrence Flack","Terrence Flack, Shane Woodson, Tom Luce, Arthur Richardson"
5302,Open Vacancy,2012,"Jason Jones is scheming, psychotic and malicious. He escapes from a mental institution where he was held for being criminally insane. Jason comes across an isolated motel on a lonely road ...                See full summary »",Patrick Jerome,"Kenneth Siddons, Larry Holden, William Ayers, Corina Bucur"
5303,Return of the Killer Shrews,2012,"Fifty-three years after being attacked by killer shrews on a remote island, Captain Thorne Sherman is hired by a reality television crew to return to the island in question. The shrews attack again in short order.",Steve Latshaw,"John Schneider, James Best, Bruce Davison, Jennifer Lyons"
5304,The Bates Haunting,2012,"One year ago, Agnes Rickover attended opening night at the Bates Motel and Haunted Hayride to see her best friend Lily's dramatic debut. A horrific accident resulted in Agnes witnessing ...                See full summary »",Byron Turk,"Jean Louise O'Sullivan, Zachary Fletcher, Dante Zucca, Ryan Dunn"
5305,After the Dawn,2012,"A survivor of warfare born chemical attack, Cassie Becker faces a new world of terrible realization. The Human race has suffered terrible recourse in the wake of an attack that never should...                See full summary »",Mitchel A. Jones,"Nicole Kruex, Tommy Propson, Aaron Courteau, Shane McCaffrey"
5306,The Sacred,2012,"A young girl bravely travels up to her dead Aunts cabin for creative inspiration. Marie gets more than she bargained for, when she soon realizes she is not alone. Confronted by evil spirits, she is forced to fight for her life.",Brett Donowho,"Heather Roop, Jordan Belfi, Brighid Fleming, Sid Haig"
5307,Amnesia,2012,Add a Plot,Bill Birrell,"Isabelle McNally, Theodora Greece, Luke Bracey, Lydia Hearst"
5308,Astro Zombies: M4 - Invaders from Cyberspace,2012,Mutant hordes are sent to annihilate mankind.,Ted V. Mikels,"Sean Morelli, Jaime Preston Lynch, Ted V. Mikels, Foster Boom"
5309,Lost Lake,2012,"A young couple travels to a deserted town to try and find their mysterious uncle, only to discover that ghosts are real and very dangerous.",Marcus Nash,"Ezra Buzzington, Katie Keene, John Shartzer, Pat McNeely"
5310,Rotgut,2012,"A seedy downtown bar on a quiet Sunday morning becomes a battleground for Armageddon, when a batch of bad booze contaminates the alcohol supply of the local drunks. Carrying a mutated worm,...                See full summary »",Billy Garberina,"Jeremy Owen, Paul Alsing, Megan Pribyl, Israel Wright"
5311,Villanelle,2012,"Villanelle tells the story of a hard drinking but honorable, down on his luck, Travis Burke (Rich Tretheway). After a storied career as Boston Police Detective taking down high profile ...                See full synopsis »",Rick Laprade,"Rich Tretheway, Gillian Williams, A.J. Paratore, Ally Tully"
5312,Siodmak,2012,"A Modern Frankenstein Film, set in New York City, where a former cop, a medical examiner and a online journalist must discover the terrifying secret behind a serial killer's actions that hold the Big Apple in a constant state of fear.",Nicholas Ortiz,"Michael Valentine, Masha Mendieta, Kit Lang, Krista Chandlee"
5313,Charm,2012,"RANDOM ACTS OF VIOLENCE is an ultra low budget thriller/black comedy about Malcolm - a New Yorker who gets tired of how gentrified, tepid and antiseptic it's all become. So he decides to ...                See full summary »",Ashley Cahill,"Rebecca Dayan, Jennifer Murray, James DeBello, Steve Carrieri"
5314,I Love You to Death,2012,Clay Foster is face to face with a griping situation. His wife is dead and he cannot accept it. He is in denial. The story starts in the midst of a tangled murder mystery. Clay's wife was ...                See full summary »,Lloyd Lee Barnett,"Travis Mendenhall, Shannon O'Dowd, John Klemantaski, Christopher Ivins"
5315,The Zombie Christ,2012,"The year is...""80's future"". The world is in shambles. A bitter and desolate place. The zombie apocalypse has been devouring the world for nearly 7 years. Now, the powers that be think the ...                See full summary »",Christopher Bryan,"Ernest James, Justin Arnold, Philip Elder, Sherman Allen"
5316,Inside,2012,Locked in a prison cell Milles Berret must face something worse than he could ever imagine. As everyone around him is violently massacred by an in-explainable force Miles must do all he can to get out from INSIDE.,Daryn Tufts,"Luke Goss, Paul Rae, Isaac C. Singleton Jr., Derek Phillips"
5317,23 Minutes to Sunrise,2012,"They say the darkest hour is just before dawn, and at the Sunrise diner it's very late indeed. Four couples find themselves at an out-of-the-way 24-hour diner, but they are not all that they seem.",Jay Kanzler,"Eric Roberts, Nia Peeples, Bob Zany, Dingani Beza"
5318,Get Out Alive,2012,"While returning from a vacation, siblings Paul & Marilyn fall prey to a pair of homicidal mechanics and their bloodthirsty pet monster.",Clay Dumaw,"David Fichtenmayer, Rhiannon Skye Roberts, David Iannotti, Jay Storey"
5319,Nightscape,2012,"In Nightscape, an emotionally guarded drifter, Kat (Galesh), crosses paths with a phantom car responsible for a wave of supernatural violence. The drifter must learn to trust again if she ...                See full summary »",David W. Edwards,"Brett Barron, Michael Biesanz, Dave Brown, Isaac Brown"
5320,The Death Hours,2012,Add a Plot,Robert Noel Gifford,"Darian Caine, Cara Castronuova, Robert Ellen, Stella Kim"
5321,The Locals,2012,"Set in 1987, a group of filmmakers venture into the California wilderness to film a shot on video slasher movie and soon find themselves systematically crippled, butchered and devoured by a family of feral cannibals.",Eric Pereira,"David Carter-T, Elissa Dowling, Greg Duke, Bree Essrig"
5322,The Year After Infection,2012,"Four stories, represented by each season, with diverse groups of people and the challenges they face after a zombie apocalypse. Trying to create a new life under the most dire of ...                See full summary »",Antonio E. Greco,"Trinka, Stan Davis, James Eason, Nichole Fischer"
5323,Pieces of Talent,2014,"This story centers around Charlotte, a struggling young actress who can't catch a break. In an effort to support herself and her hopeless mother, Charlotte holds a job as a cocktail ...                See full summary »",Joe Stauffer,"David Long, Kristi Ray, Taylor Kowalski, Barbara Weetman"
5324,Obsidian Hearts,2012,Cosette is cursed. Demons Ghouls and Ghosts from the darkest corners of Hell are summoned to bring her to the other side. Now Cosette and Klaus her protector must face an unspeakable evil in an attempt to free her from this demonic curse.,Rene Perez,"Robert Amstler, Jenny Allford, Raven Lexy, Gabriel Kalomas"
5325,Hatchet County,2012,"In 1869, a small group of men battle a demonic evil unleashed in Hatchet County, Virginia. Believing themselves victorious, the posse disbands; two members stay to watch over the area and ...                See full summary »",Adam Hulin,"R. Keith Harris, Matthew B. Moore, Paul Shaw, Jess Barbour"
5326,The Brothers Cannibal,2012,Two Brothers need to hide from their Parole Officer when his visit happens at the same time that a girl overdoses in the apartment.,Creep Creepersin,"Alexandra Ackerman, Elissa Dowling, Joel Ezra Hebner, John Karyus"
5327,The Dark Sleep,2012,"Following her recent divorce, a writer moves into a new home to begin penning her next book. Little does she know this house has some dark secrets. A giant rat visits her in the middle of ...                See full summary »",Brett Piper,"Taylor Nicole Adams, Bob Dennis, Steve Diasparra, Ashley Galloway"
5328,Solid State,2012,Be careful of what you touch. A large meteor is heading quickly toward Earth. A space defense launches a missile and seems to destroy the meteor. But a small piece of the meteor lands in a ...                See full summary »,Stefano Milla,"Debbie Rochon, Vivica A. Fox, Ava Brunini, Suzi Lorraine"
5329,Brutal,2012,"Carl Gibson finds himself naked from the waist up and chained to a chair in the dingy basement of a stoical, dungaree wearing loner, called Brutal. Subjected to a torturous game, Carl wonders if he will ever see his family again.","Michael Patrick Stevens, Darla Rae","A. Michael Baldwin, Reid Luttrell, Jamie McCall, Annie Molnar"
5330,Perdition,2012,The painful realization that every choice we make must be paid for. Sometimes that cost is higher than we can imagine.,Chase Smith,"Zoe Myers, Michael Ford, Sarah Spencer Yerger, Shannon Stough"
5331,Waterfront Nightmare,2012,Seven college friends spend their spring break in a remote waterfront cabin only to discover that their lives are in jeopardy.,Clark Birchmeier,"Bree Michaels, Simone Wasserman, Dominic Ryan Gabriel, EJ Assi"
5332,6 Models in Hell,2012,"6 models arrive at a warehouse to audition for a fashion show being hosted by the biggest talent agency in the city. Little do they know, the MC hosting the audition knows their innermost demons and intends to judge them for past sins.",Simi Van Scoy,"Tony Slade, Krishna Tailor, Jose Rosete, Jennifer Renée Price"
5333,Bloody Christmas,2012,"In a small town Police are in search for a child murderer. Meanwhile Rich Tague a has been 80's action movie star, is attempting to figure out the meaning of Christmas as he plays Santa on ...                See full summary »",Michael Shershenovich,"Steve Montague, Robert Youngren, Robert Arensen, Geretta Geretta"
5334,Village Creek Road,2012,"A news team is investigating the supposed disappearance of five local teenagers. The search for their whereabouts begins on the two year anniversary of ""The Missing Five"" disappearance. The...                See full summary »",Isaac Fenter,"Jenny Hamilton, Stephen Greys, Jackeline Vidal, Thomas Calvert"
5335,BLOODx3,2012,"After the Chief of Police, Phillips Johnson, is murdered by a vicious killer; Detective Sampson (played by Mario DiNicola) and his team are assigned to immediately investigate and find the ...                See full summary »","Christopher Pietak, Joshua Fowler","Mario Dinicola, Joshua Fowler, Christopher Pietak"
5336,Misogyny,2012,A young man is forever altered by the women life puts in his path.,Robert Berg,"Charlie Lowrey, Caitlin Tomlinson, Andrew Seaward, Tom Auclair"
5337,Willa,2012,"David goes to find his fiancée, Willa. She has left him at a train station with a group of stranded passengers. He finds her at a local honky-tonk of a club and in his attempt to bring her ...                See full summary »",Christopher Birk,"Theodore Bouloukos, Gregory M. Brown, Jane Brown, Felix Flores"
5338,Solipsa,2012,On her tenth anniversary a working mother & wife has the worst day of her life & attempts to survive at all costs. In her small town the day after the Fourth of July Parade a topical zombie...                See full summary »,Richard Sangeleer,"Kandice Abney, Aubrey Baxter, Denise Baxter, Garrett Baxter"
5339,Big Nova Gold,2012,'All the best poems are written in blood' is the notion documented in this phantasmagorical study of a down-and-out word master coming to grips with his demons. Hallucination supplants ...                See full summary »,Chuck Waagen,"Lenny Fitzgerald, Mike Hardy"
5340,The Doomsloop,2012,"Accused of foul play in the accidental deaths of his former girlfriends, Internet sensation, Brick Maison uses his roommate's camera phone, audition tapes and personal documentary footage ...                See full summary »",David Velo Stewart,"Jazz Caldwell, Quentin 'Q-Nice' Finley, Clarence Gaines IV, Aarona Lopez"
5341,Sadistic Eroticism,2012,"A steamy, raunchy, horror/comedy, in the style of a classic, campy, strait to video, 1980s horror movie. The film tells the story of a three hundred year old, Hungarian vampire/succubus ...                See full summary »",Alex Powers,"Kirsty Hill, T.J. Akins, Michael Q. Schmidt, Deidre Ann Estrada"
5342,Now You See Me,2012,When Ketchikan authorities discover the body of a homicide suspect they can't tell if its a murder or suicide. An unlikely investigator of the paranormal uncovers an ancient ritual that has...                See full summary »,Jay Border,"Jay Border, Jeff Fuell, Cynthia Gower, Austin Hays"
5343,Portrait for Hell,2012,"When Katie Blackwell, a well-to-do landscape artist, and her husband, Will, move into their first home, life appears to be on track until terrifying nightmares and violent hauntings leave ...                See full summary »",Thorin Thompson,"Jonathan Elliott Coarsey, Allison Flanagan, Michelle Harkness, Reginald L. Moser"
5344,Tormented,2012,Supernatural obsession.,James Rogy,"Al Alba, Kimberly Bada, Ralph Cole, Chris Dyer-Grugan"
5345,No Remorse,2012,A notorious drug cartel ventures off into the wilderness for a weekend of fun and partying. Little did they know that their demons from the past would come back to haunt them! Members of ...                See full summary »,Bruce Odams,"Adio Bowen, Darrell Brawner, Gary Briggs, Earl Butts"
5346,Fear Lives Here,2012,"Fear Lives Here is a psychological horror film about five college friends who go on a hiking trip in a remote area. What starts out as a beautiful sunny day, suddenly turns into a deadly ...                See full summary »",Michael Gordon,"Paul Darrigo, Zack Gold, Lance J. Holt, Lindsay Anne Hugghins"
5347,Surviving Evidence,2012,"After a virus infects most of New York City, 7 survivors take refuge in an abandoned high school and record their lives there.",Avishai Weinberger,"Daniel Bodenheim, Gabe Korn, Ida Stein, Shimi Savitt"
5348,In the Realms of Madness,2012,"A mysterious traveler infiltrates a dangerous underground organization. Gabriel Black, a traveler, journeys into San Antonio where he encounters The Wendagora, a spirit, who leads him to a ...                See full summary »",Ross Wells,"Sarah Sonnen, Ross Wells, Stephen Richardson, Lisa Shelton"
5349,Hate Crime,2012,"A Jewish family, that just arrived in a new neighborhood, are recording their youngest son's birthday celebrations on video when their home is suddenly invaded by a bunch of crystal-meth-crazed Neo-Nazi lunatics.",James Cullen Bressack,"Jody Barton, Nicholas Adam Clark, Gregory DePetro, Debbie Diesel"
5350,Death on the D-List,2012,Add a Plot,Jamie Greco,"Lloyd Kaufman, Debbie Rochon"
5351,Do You Like My Basement,2012,Do You Like My Basement? tracks how one man's creative frustration bore a need to make the perfect horror film. Stanley Farmer was rejected universally by the film world. His frustration ...                See full summary »,Roger Sewhcomar,"Lian Allweiss, Maggie Balistreri, Lowell Byers, Eric Chase"
5352,A Zombie Invasion,2012,The inhabitants of a small town and it's very popular diner have to fend off a nasty infestation of hungry zombies.,"Kely McClung, Matt Green","Robert Pralgo, Ted Huckabee, Stephen Caudill, Geoff McKnight"
5353,The Devil's Nightmare,2012,Addiction can be your own personal Hell.,David Zagorski,"Colin Allen, Dina Baker, Kt Baldassaro, Tomi Beck"
5354,All Hallows Evil: Lord of the Harvest,2012,"An Evil force is summoned on All Hallows Eve, and now the sleepy town of Hallowed Hill will endure the dark Lords vengeance.",Ron McLellen,"Ian Isaksson, Alyssa Lewis, Rusty Smith, Adam Rosenberg"
5355,Alien Babes in Heat,2012,Add a Plot,Creep Creepersin,"Marta Zolynska, Tara Alexis, Domiziano Arcangeli, Elissa Dowling"
5356,Winter's Kill,2012,"Without electricity, gas, and food only in short supply, six groups of survivors must battle themselves and others in an attempt to prepare for the upcoming winter.","Ryan L. Johnson, Dylan J. Freedman","Dylan J. Freedman, Don Hill, Riley Gustafson, Paul Schermerhorn"
5357,Misfit Heights,2012,A Zombie Puppet Musical! Misfit heights is a film about an apartment building populated by puppets who have to struggle for survival when a mad scientist's plan to rule the world with an ...                See full summary »,James Burzelic,"Juliette Angeli, Joey Banks, James Burzelic, T.C. De Witt"
5358,Dark of Winter,2012,An assassin tries to comprehend the otherworldly events that begin to happen to him in the middle of a complex job.,David C. Snyder,"Kyle Jason, Erica Paisley, Ashtyn Neibar, Andrew Zibritosky"
5359,Project Achilles,2012,"There are three rules for ensuring your personal safety. Number one, be careful who you do business with. Number two, be even more careful whose wife you sleep with - if not your own. ...                See full summary »","Doug Weed, Michael Thorsen, Terry Largent","Bryce Bullis, Keri Bunkers, Dennis Burgduff, Sarah Burgduff"
5360,Blown,2012,"After getting fired from his job, fireworks expert, Terrance Nathan Thatcher returns to his childhood home. When people and memories from his past re-emerge, Terrance becomes dangerous and vengeful.",Carmine Famiglietti,"Hugo Aleman, Natalia DiSario, Carmine Famiglietti, Craig Geraghty"
5361,Rid,2012,RID -- A troubled young woman steals the identity of a nurse and tries to care for a comatose patient in a Gothic mansion. Upon arrival she seems to be attacked at night by fleas. Even more...                See full summary »,Carmine Famiglietti,
5362,Katie55,2012,"Who is the real Katie55? Is she a bored college student stuck in a hum-drum town, or a fifteen-year-old girl whose video journal has thousands of followers hits online? Even Katie isn't ...                See full summary »","Kennon Hulett, Austin R. Trunick","Trip Langley, Shawn Hazelett, Megan Browning, Josh Nativio"
5363,Rid,2012,"A man struggles to separate the events that are real in his life, with the events that are part of his mental illness.",Jim Menza,"Eric Clark, Patrick Connell, Ben Gillman, Amelia Gotham"
5364,Specter,2012,A supernatural thriller containing real natural disasters intertwined with a narrative story that will keep you guessing until the very end.,Jordan Graham,"Corey Ankele, Kaitlin Ankele, Adrian Cavlan, Michael Daniel"
5365,Bloodbath in Creightonville,2012,"17 year old Mari runs away from home after killing her father in self defense. On the road, she meets up with three college kids on a road trip, only to end up in the town of Creightonville...                See full summary »",Matt Cloude,"Chris J. Duncan, John R. Price II, Danielle Fluker, Chelle Fire"
5366,Deadly Presence,2012,"Three friends looking for a night of fun decide to stay in a supposedly haunted house. Several days later Candace finds herself in the midst of strange happenings. When she calls on her friend for help, it's up to her to seek the answers.",Shane Cole,"Megan Lynn, Kathy Sue Holtorf, Sabrina Carmichael, Robert Dough"
5367,Skum Quixote,2012,A sick and twisted take on an old classic.,Charles Vick Duncan,"Elena Bantista, Ben Noud Barnes, Manda Bear, Alice Binks"
5368,Death Is No Escape,2012,"In a basement in Brooklyn, the cast of the hit show 'Urban Ghost Hunters' are investigating reports of ghostly sightings. Barely settled in they quickly realize they are in trouble when ...                See full summary »",Franklyn,"Matthew Amouyal, Michael Anthony Chorney, Amira Ashfaq, Noor Ashfaq"
5369,Eyam,2012,"After the plague kills everyone they know, seven camp counselors quarantined themselves at the Quaker camp where they've spent every summer of their lives. Three months later, their sanity ...                See full summary »",Scout Tafoya,"Sophie Chernin, Stephie Ulm, Jack Farrell, Alex Heim"
5370,Porkchop 3D,2012,A maniac man in a pig mask who is a psychopath and kills innocent and guilty people and turns them into pig meat then eats it.,Eamon Hardiman,"Kaylee Williams, Sam Qualiana, Kennie Bass, Rob Cobb"
5371,Long on the Island,2012,"Long on the Island is a psychological thriller in the tradition of HP Lovecraft. With an original screenplay, Long on the Island launches a fertility goddess into a haunting place where the...                See full summary »",Ruth Fischer-Smith,Peter E. Lewis
5372,"The Periphery Project, Vol. I",2012,One man's mission to expose an illegal government surveillance operation. One public access show at a time.,Steve Edmiston,Eric Riedmann
5373,The Awakened,2012,"Five friends decide to weather out a hurricane in Miami. But when drinking gets old, the party games get strange, and people begin to die. Is what is inside the house more terrifying than the storm raging outside?","Douglas Villalba, Lou Simon","Stephanie Pitts, Nikolas Holmes, Jonathan 'Legacy' Perez, John J Thomassen"
5374,Third Shift,2012,Add a Plot,Marc van Osdale,"Patrick Curran, Mike Gonzalez, Lindsay Lamb, Brian O'Hara"
5375,Speed Demons,2012,"The world is in chaos; vampires rule the streets, searching for ""The Day Walker"". Two vampire hunters desperately try to keep her alive.",Dan Garcia,"Phil Austin, Courtney James Clark, Delilah Donovan, James DuMont"
5376,Catch Hell,2012,"Owen, a family man turned bank robber, picks up a lone hitchhiker as a hostage. But as the hitchhiker reveals himself to be more than first meets the eye, Owens best laid plans begin to spiral out of control.","Joel Gregoire, Josh Allen","Scott Roddan, Alvin Berg, Lindsay Teter, Michael Gregoire"
5377,"Run, Hide, Die",2012,"Five girls, one secret. Revenge stalks them in the night.",Collin Joseph Neal,"Alison Monda, Alicia Mendez, Ivey Bronwen, Tabitha Bastien"
5378,Face,2012,"What caused the gruesome aftermath at the Delta Chi Kappa Sorority house on the night of October 31, 2012? This footage is leaked police evidence you are not supposed to watch. It reveals a...                See full summary »","Norith Soth, Taka Arai","Scott Alin, Ashley Alva, Max Aria, Sienna Beckman"
5379,Standards of Living,2012,"In order to enhance his ability to make people laugh, a struggling comedian takes part in a teleportation experiment that ""improves"" whatever cargo is being teleported...but the results are no laughing matter.",Aaron Mento,"Bill Ferris, Kevin M. Glover, Derek Houck, Rolland Kiroloss"
